Compound,Workflow,,,,,,,,,,,,,,,,,,,Retention Time,,,PTC Confirmed RT,SMILES
Ketamine,TargetPeak,,,,,,,,,,,,,,,,,,,3.77,,,3.99,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
Ketamine,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,3.99,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
Ketamine,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,3.99,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
Ketamine,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,3.99,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
Ketamine,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,3.99,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
Ketamine,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,3.99,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
34Methylene dioxy pyrovalerone,TargetPeak,,,,,,,,,,,,,,,,,,,4.35,,,,
34Methylene dioxy pyrovalerone,Fragment,,,,,,,,,,,,,,,,,,,4.35,,,,
34Methylene dioxy pyrovalerone,Fragment,,,,,,,,,,,,,,,,,,,4.35,,,,
34Methylene dioxy pyrovalerone,Fragment,,,,,,,,,,,,,,,,,,,4.35,,,,
34Methylene dioxy pyrovalerone,Fragment,,,,,,,,,,,,,,,,,,,4.35,,,,
34Methylene dioxy pyrovalerone,Fragment,,,,,,,,,,,,,,,,,,,4.35,,,,
12Methoxyphenylpiperazine,TargetPeak,,,,,,,,,,,,,,,,,,,3.15,,,,
12Methoxyphenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.15,,,,
12Methoxyphenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.15,,,,
12Methoxyphenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.15,,,,
12Methoxyphenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.15,,,,
12Methoxyphenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.15,,,,
13Chlorophenylpiperazine,TargetPeak,,,,,,,,,,,,,,,,,,,3.86,,,,
13Chlorophenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.86,,,,
13Chlorophenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.86,,,,
13Methylbenzylpiperazine,TargetPeak,,,,,,,,,,,,,,,,,,,2.4,,,,
13Methylbenzylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,2.4,,,,
13Methylbenzylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,2.4,,,,
13Trifluoromethylphenylpiperazine,TargetPeak,,,,,,,,,,,,,,,,,,,4.44,,,,
13Trifluoromethylphenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,4.44,,,,
14Chlorophenylpiperazine,TargetPeak,,,,,,,,,,,,,,,,,,,3.79,,,,
14Chlorophenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.79,,,,
14Chlorophenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.79,,,,
14Chlorophenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.79,,,,
14Chlorophenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,3.79,,,,
14Methoxyphenyl piperazine MeOPP,TargetPeak,,,,,,,,,,,,,,,,,,,2.8,,,,
14Methoxyphenyl piperazine MeOPP,Fragment,,,,,,,,,,,,,,,,,,,2.8,,,,
14Methoxyphenyl piperazine MeOPP,Fragment,,,,,,,,,,,,,,,,,,,2.8,,,,
14Methoxyphenyl piperazine MeOPP,Fragment,,,,,,,,,,,,,,,,,,,2.8,,,,
14Methoxyphenyl piperazine MeOPP,Fragment,,,,,,,,,,,,,,,,,,,2.8,,,,
14Methoxyphenyl piperazine MeOPP,Fragment,,,,,,,,,,,,,,,,,,,2.8,,,,
137Trimethyluric acid,TargetPeak,,,,,,,,,,,,,,,,,,,2.84,,,,
137Trimethyluric acid,Fragment,,,,,,,,,,,,,,,,,,,2.84,,,,
137Trimethyluric acid,Fragment,,,,,,,,,,,,,,,,,,,2.84,,,,
137Trimethyluric acid,Fragment,,,,,,,,,,,,,,,,,,,2.84,,,,
137Trimethyluric acid,Fragment,,,,,,,,,,,,,,,,,,,2.84,,,,
139Trimethylxanthine,TargetPeak,,,,,,,,,,,,,,,,,,,2.5,,,,
139Trimethylxanthine,Fragment,,,,,,,,,,,,,,,,,,,2.5,,,,
139Trimethylxanthine,Fragment,,,,,,,,,,,,,,,,,,,2.5,,,,
139Trimethylxanthine,Fragment,,,,,,,,,,,,,,,,,,,2.5,,,,
1Aminocyclohexanecarboxylic acid,TargetPeak,,,,,,,,,,,,,,,,,,,0.68,,,,
1Aminocyclohexanecarboxylic acid,Fragment,,,,,,,,,,,,,,,,,,,0.68,,,,
1Aminocyclohexanecarboxylic acid,Fragment,,,,,,,,,,,,,,,,,,,0.68,,,,
1Benzyl4hydroxypiperidine,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
1Benzyl4propioyloxypiperidine,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
1Methyl3phenylpiperazine,TargetPeak,,,,,,,,,,,,,,,,,,,0.66,,,,
1Methyl3phenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,0.66,,,,
1Methyl3phenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,0.66,,,,
1Methyl3phenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,0.66,,,,
1Methyl3phenylpiperazine,Fragment,,,,,,,,,,,,,,,,,,,0.66,,,,
1Methylamino134methylenedioxyphenylpropane,TargetPeak,,,,,,,,,,,,,,,,,,,3.59,,,,
1Methylamino134methylenedioxyphenylpropane,Fragment,,,,,,,,,,,,,,,,,,,3.59,,,,
1Methylamino134methylenedioxyphenylpropane,Fragment,,,,,,,,,,,,,,,,,,,3.59,,,,
1Methylamino134methylenedioxyphenylpropane,Fragment,,,,,,,,,,,,,,,,,,,3.59,,,,
1Methylamino134methylenedioxyphenylpropane,Fragment,,,,,,,,,,,,,,,,,,,3.59,,,,
1Phenethyl4propionyloxypiperidine,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
10Deacetylbaccatin III  H2O,TargetPeak,,,,,,,,,,,,,,,,,,,6.15,,,,
10Deacetylbaccatin III  H2O,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
10Deacetylbaccatin III  H2O,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
10Deacetylbaccatin III  H2O,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
10Deacetylbaccatin III  H2O,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
10Deacetylbaccatin III  H2O,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
10hydroxycarbazepine,TargetPeak,,,,,,,,,,,,,,,,,,,4.71,,,4.9,
10hydroxycarbazepine,Fragment,,,,,,,,,,,,,,,,,,,4.71,,,4.9,
10hydroxycarbazepine,Fragment,,,,,,,,,,,,,,,,,,,4.71,,,4.9,
10hydroxycarbazepine,Fragment,,,,,,,,,,,,,,,,,,,4.71,,,4.9,
11Hydroxydelta9THC,TargetPeak,,,,,,,,,,,,,,,,,,,8.04,,,,
11Hydroxydelta9THC,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
11Hydroxydelta9THC,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
11Hydroxydelta9THC,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
11Hydroxydelta9THC,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
11Hydroxydelta9THC,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
11Nordelta9THCCOOH d3,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
1PLSD,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
25dimethoxyfentanyl,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
246Trimethoxyamphetamine,TargetPeak,,,,,,,,,,,,,,,,,,,3.34,,,,
246Trimethoxyamphetamine,Fragment,,,,,,,,,,,,,,,,,,,3.34,,,,
246Trimethoxyamphetamine,Fragment,,,,,,,,,,,,,,,,,,,3.34,,,,
246Trimethoxyamphetamine,Fragment,,,,,,,,,,,,,,,,,,,3.34,,,,
246Trimethoxyamphetamine,Fragment,,,,,,,,,,,,,,,,,,,3.34,,,,
246Trimethoxyamphetamine,Fragment,,,,,,,,,,,,,,,,,,,3.34,,,,
24Diaminotoluene,TargetPeak,,,,,,,,,,,,,,,,,,,0.42,,,,
24Diaminotoluene,Fragment,,,,,,,,,,,,,,,,,,,0.42,,,,
24Diaminotoluene,Fragment,,,,,,,,,,,,,,,,,,,0.42,,,,
24Dimethylaniline,TargetPeak,,,,,,,,,,,,,,,,,,,0.02,,,,
24Dimethylaniline,Fragment,,,,,,,,,,,,,,,,,,,0.02,,,,
24Dimethylaniline,Fragment,,,,,,,,,,,,,,,,,,,0.02,,,,
24Dimethylaniline,Fragment,,,,,,,,,,,,,,,,,,,0.02,,,,
24Dimethylaniline,Fragment,,,,,,,,,,,,,,,,,,,0.02,,,,
2Acetamidophenol,TargetPeak,,,,,,,,,,,,,,,,,,,3.08,,,,
2Acetamidophenol,Fragment,,,,,,,,,,,,,,,,,,,3.08,,,,
2MethylAP237,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
2Naphtoic acidammonium,TargetPeak,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidammonium,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidammonium,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidammonium,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidammonium,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidammonium,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidneg,TargetPeak,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidneg,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidneg,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidneg,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidneg,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Naphtoic acidneg,Fragment,,,,,,,,,,,,,,,,,,,6.08,,,,
2Oxo3hydroxyLSD,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
2phenylcyclopropylamine,TargetPeak,,,,,,,,,,,,,,,,,,,2.56,,,,
2phenylcyclopropylamine,Fragment,,,,,,,,,,,,,,,,,,,2.56,,,,
2phenylcyclopropylamine,Fragment,,,,,,,,,,,,,,,,,,,2.56,,,,
2phenylcyclopropylamine,Fragment,,,,,,,,,,,,,,,,,,,2.56,,,,
2phenylcyclopropylamine,Fragment,,,,,,,,,,,,,,,,,,,2.56,,,,
20Alphadihydroprednisolone,TargetPeak,,,,,,,,,,,,,,,,,,,5.16,,,,
20Alphadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.16,,,,
20Alphadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.16,,,,
20Alphadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.16,,,,
20Alphadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.16,,,,
20Alphadihydroprednisolone,Fragment,,,,,,,,,,,,,,,,,,,5.16,,,,
20Betadihydrocortisol,TargetPeak,,,,,,,,,,,,,,,,,,,5.29,,,,
20Betadihydrocortisol,Fragment,,,,,,,,,,,,,,,,,,,5.29,,,,
20Betadihydrocortisol,Fragment,,,,,,,,,,,,,,,,,,,5.29,,,,
20Betadihydrocortisol,Fragment,,,,,,,,,,,,,,,,,,,5.29,,,,
20Betadihydrocortisol,Fragment,,,,,,,,,,,,,,,,,,,5.29,,,,
20Betadihydrocortisol,Fragment,,,,,,,,,,,,,,,,,,,5.29,,,,
